"KE21: ELECTRICITY PRODUCTION, IMPORTS, EXPORTS AND SALE by Indicator and Reference period"

"Indicator","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September"
"Imports of electricity, GWh",525,707,686,624,0,295,300,267,292,355,643,587,524
"Exports of electricity, GWh",372,472,391,327,0,54,112,168,134,195,377,269,250
